Date, Open, High, Low, Close
06/21/19, 2952.71, 2964.15, 2946.87, 2950.46
06/20/19, 2949.60, 2958.06, 2931.50, 2954.18
06/19/19, 2920.55, 2931.74, 2911.43, 2926.46
06/18/19, 2906.71, 2930.79, 2905.44, 2917.75
06/17/19, 2889.75, 2897.27, 2887.30, 2889.67
06/14/19, 2886.82, 2894.45, 2879.62, 2886.98
06/13/19, 2886.24, 2895.24, 2881.99, 2891.64
06/12/19, 2882.73, 2888.57, 2874.68, 2879.84
06/11/19, 2903.27, 2910.61, 2878.53, 2885.72
06/10/19, 2885.83, 2904.77, 2885.51, 2886.73
06/07/19, 2852.87, 2884.97, 2852.87, 2873.34
06/06/19, 2828.51, 2852.10, 2822.45, 2843.49
06/05/19, 2818.09, 2827.28, 2800.92, 2826.15
06/04/19, 2762.64, 2804.49, 2762.64, 2803.27
06/03/19, 2751.53, 2763.07, 2728.81, 2744.45
05/31/19, 2766.15, 2768.98, 2750.52, 2752.06
05/30/19, 2786.94, 2799.00, 2776.74, 2788.86
05/29/19, 2790.25, 2792.03, 2766.06, 2783.02
05/28/19, 2830.03, 2840.51, 2801.58, 2802.39
05/24/19, 2832.41, 2841.36, 2820.19, 2826.06
05/23/19, 2836.70, 2836.70, 2805.49, 2822.24
05/22/19, 2856.06, 2865.47, 2851.11, 2856.27
05/21/19, 2854.02, 2868.88, 2854.02, 2864.36
05/20/19, 2841.94, 2853.86, 2831.29, 2840.23
05/17/19, 2858.60, 2885.48, 2854.23, 2859.53
05/16/19, 2855.80, 2892.15, 2855.80, 2876.32
05/15/19, 2820.38, 2858.68, 2815.08, 2850.96
05/14/19, 2820.12, 2852.54, 2820.12, 2834.41
05/13/19, 2840.19, 2840.19, 2801.43, 2811.87
05/10/19, 2863.10, 2891.31, 2825.39, 2881.40
05/09/19, 2859.84, 2875.97, 2836.40, 2870.72
05/08/19, 2879.61, 2897.96, 2873.28, 2879.42
05/07/19, 2913.03, 2913.03, 2862.60, 2884.05
05/06/19, 2908.89, 2937.32, 2898.21, 2932.47
05/03/19, 2929.21, 2947.85, 2929.21, 2945.64
05/02/19, 2922.16, 2931.68, 2900.50, 2917.52
05/01/19, 2952.33, 2954.13, 2923.36, 2923.73
04/30/19, 2937.14, 2948.22, 2924.11, 2945.83
04/29/19, 2940.58, 2949.52, 2939.35, 2943.03
04/26/19, 2925.81, 2939.88, 2917.56, 2939.88
04/25/19, 2928.99, 2933.10, 2912.84, 2926.17
04/24/19, 2934.00, 2936.83, 2926.05, 2927.25
04/23/19, 2909.99, 2936.31, 2908.53, 2933.68
04/22/19, 2898.78, 2909.51, 2896.35, 2907.97
04/18/19, 2904.81, 2908.40, 2891.90, 2905.03
04/17/19, 2916.04, 2918.00, 2895.45, 2900.45
04/16/19, 2912.26, 2916.06, 2900.71, 2907.06
04/15/19, 2908.32, 2909.60, 2896.48, 2905.58
04/12/19, 2900.86, 2910.54, 2898.37, 2907.41
04/11/19, 2891.92, 2893.42, 2881.99, 2888.32
04/10/19, 2881.37, 2889.71, 2879.13, 2888.21
04/09/19, 2886.58, 2886.88, 2873.33, 2878.20
04/08/19, 2888.46, 2895.95, 2880.78, 2895.77
04/05/19, 2884.16, 2893.24, 2882.99, 2892.74
04/04/19, 2873.99, 2881.28, 2867.14, 2879.39
04/03/19, 2876.09, 2885.25, 2865.17, 2873.40
04/02/19, 2868.24, 2872.90, 2858.75, 2867.24
04/01/19, 2848.63, 2869.40, 2848.63, 2867.19
03/29/19, 2828.27, 2836.03, 2819.23, 2834.40
03/28/19, 2809.40, 2819.71, 2798.77, 2815.44
03/27/19, 2819.72, 2825.56, 2787.72, 2805.37
03/26/19, 2812.66, 2829.87, 2803.99, 2818.46
03/25/19, 2796.01, 2809.79, 2785.02, 2798.36
